ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	sum	proportion
Environmental	Aquatic	Freshwater	Groundwater	Unclassified	freshwater biome	-	groundwater	ENVO_00000873	-	ENVO_01001004	44.0	Environmental_Aquatic_Freshwater_Groundwater_Unclassified	freshwater biome_-_groundwater	192.0	0.22916666666666666
Environmental	Terrestrial	Soil	Unclassified	Permafrost	polar biome	polar	peat soil	ENVO_01000339	ENVO_01000238	ENVO_00005774	57.0	Environmental_Terrestrial_Soil_Unclassified_Permafrost	polar biome_polar_peat soil	249.0	0.2289156626506024
Environmental	Terrestrial	Soil	Loam	Forest soil	forest biome	solid layer	forest soil	ENVO_01000174	ENVO_01001275	ENVO_00002261	74.0	Environmental_Terrestrial_Soil_Loam_Forest soil	forest biome_solid layer_forest soil	332.0	0.22289156626506024
Environmental	Terrestrial	Deep subsurface	Fracking water	Unclassified	terrestrial biome	borehole	fracking liquid	ENVO_00000446	ENVO_00002226	ENVO_01001869	8.0	Environmental_Terrestrial_Deep subsurface_Fracking water_Unclassified	terrestrial biome_borehole_fracking liquid	36.0	0.2222222222222222
Environmental	Aquatic	Marine	Oceanic	Oil-contaminated sediment	mangrove biome	mangrove swamp	-	ENVO_01000181	ENVO_00000057	-	6.0	Environmental_Aquatic_Marine_Oceanic_Oil-contaminated sediment	mangrove biome_mangrove swamp_-	27.0	0.2222222222222222
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Microbial mats	aquatic biome	hot spring	microbial mat	ENVO_00002030	ENVO_00000051	ENVO_01000008	2.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Microbial mats	aquatic biome_hot spring_microbial mat	9.0	0.2222222222222222
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Microbial mats	estuarine biome	estuary	microbial mat	ENVO_01000020	ENVO_00000045	ENVO_01000008	2.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Microbial mats	estuarine biome_estuary_microbial mat	9.0	0.2222222222222222
Environmental	Terrestrial	Soil	Loam	Grasslands	grassland biome	land	grassland soil	ENVO_01000177	ENVO_01001785	ENVO_00005750	17.0	Environmental_Terrestrial_Soil_Loam_Grasslands	grassland biome_land_grassland soil	77.0	0.22077922077922077
Environmental	Aquatic	Aquaculture	Unclassified	Unclassified	freshwater biome	fish farm	fresh water	ENVO_00000873	ENVO_00000294	ENVO_00002011	12.0	Environmental_Aquatic_Aquaculture_Unclassified_Unclassified	freshwater biome_fish farm_fresh water	55.0	0.21818181818181817
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified	aquatic biome	saline lake	lake water	ENVO_00002030	ENVO_00000019	ENVO_04000007	89.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Unclassified	aquatic biome_saline lake_lake water	409.0	0.2176039119804401
Environmental	Aquatic	Marine	Intertidal zone	Unclassified	marine biome	intertidal zone	sea water	ENVO_00000447	ENVO_00000316	ENVO_00002149	70.0	Environmental_Aquatic_Marine_Intertidal zone_Unclassified	marine biome_intertidal zone_sea water	322.0	0.21739130434782608
Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	oil shale	ENVO_00000446	ENVO_01000941	ENVO_02000119	23.0	Environmental_Terrestrial_Deep subsurface_Unclassified_Unclassified	terrestrial biome_planetary subsurface zone_oil shale	106.0	0.2169811320754717
Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	shale	ENVO_00000446	ENVO_01000941	ENVO_00002056	23.0	Environmental_Terrestrial_Deep subsurface_Unclassified_Unclassified	terrestrial biome_planetary subsurface zone_shale	106.0	0.2169811320754717
Environmental	Terrestrial	Cave	Unclassified	Unclassified	terrestrial biome	cave wall	rock	ENVO_00000446	ENVO_00002144	ENVO_00001995	3.0	Environmental_Terrestrial_Cave_Unclassified_Unclassified	terrestrial biome_cave wall_rock	14.0	0.21428571428571427
Environmental	Aquatic	Marine	Sediment	Unclassified	marine biome	bay	sediment	ENVO_00000447	ENVO_00000032	ENVO_00002007	20.0	Environmental_Aquatic_Marine_Sediment_Unclassified	marine biome_bay_sediment	94.0	0.2127659574468085
Environmental	Terrestrial	Soil	Unclassified	Contaminated	terrestrial biome	planetary subsurface zone	sediment	ENVO_00000446	ENVO_01000941	ENVO_00002007	9.0	Environmental_Terrestrial_Soil_Unclassified_Contaminated	terrestrial biome_planetary subsurface zone_sediment	43.0	0.20930232558139536
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Sediment	aquatic biome	lake	lake sediment	ENVO_00002030	ENVO_00000020	ENVO_00000546	6.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Sediment	aquatic biome_lake_lake sediment	29.0	0.20689655172413793
Environmental	Terrestrial	Rock-dwelling (endoliths)	Unclassified	Unclassified	desert biome	endolithic environment	rock	ENVO_01000179	ENVO_01000303	ENVO_00001995	24.0	Environmental_Terrestrial_Rock-dwelling (endoliths)_Unclassified_Unclassified	desert biome_endolithic environment_rock	117.0	0.20512820512820512
Environmental	Terrestrial	Soil	Unclassified	Permafrost	terrestrial biome	active permafrost layer	permafrost	ENVO_00000446	ENVO_04000009	ENVO_00000134	50.0	Environmental_Terrestrial_Soil_Unclassified_Permafrost	terrestrial biome_active permafrost layer_permafrost	249.0	0.20080321285140562
Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	forest floor	forest soil	ENVO_01000174	ENVO_01001582	ENVO_00002261	310.0	Environmental_Terrestrial_Soil_Unclassified_Forest Soil	forest biome_forest floor_forest soil	1549.0	0.2001291155584248
Environmental	Aquatic	Freshwater	Wetlands	Sediment	aquatic biome	island	sediment	ENVO_00002030	ENVO_00000098	ENVO_00002007	30.0	Environmental_Aquatic_Freshwater_Wetlands_Sediment	aquatic biome_island_sediment	150.0	0.2
Environmental	Aquatic	Non-marine Saline and Alkaline	Unclassified	Unclassified	aquatic biome	-	hypersaline water	ENVO_00002030	-	ENVO_00002012	4.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Unclassified_Unclassified	aquatic biome_-_hypersaline water	20.0	0.2
Environmental	Terrestrial	Soil	Clay	Contaminated	terrestrial biome	land	soil	ENVO_00000446	ENVO_01001785	ENVO_00001998	2.0	Environmental_Terrestrial_Soil_Clay_Contaminated	terrestrial biome_land_soil	10.0	0.2
Environmental	Aquatic	Marine	Cold seeps	Unclassified	marine cold seep biome	cold seep	-	ENVO_01000127	ENVO_01000263	-	1.0	Environmental_Aquatic_Marine_Cold seeps_Unclassified	marine cold seep biome_cold seep_-	5.0	0.2
Environmental	Aquatic	Marine	Cold seeps	Unclassified	marine cold seep biome	cold seep	marine sediment	ENVO_01000127	ENVO_01000263	ENVO_03000033	1.0	Environmental_Aquatic_Marine_Cold seeps_Unclassified	marine cold seep biome_cold seep_marine sediment	5.0	0.2
Environmental	Aquatic	Marine	Cold seeps	Unclassified	marine cold seep biome	mud volcano	-	ENVO_01000127	ENVO_00000402	-	1.0	Environmental_Aquatic_Marine_Cold seeps_Unclassified	marine cold seep biome_mud volcano_-	5.0	0.2
Environmental	Aquatic	Marine	Intertidal zone	Beach	marine biome	beach	coastal sea water	ENVO_00000447	ENVO_00000091	ENVO_00002150	1.0	Environmental_Aquatic_Marine_Intertidal zone_Beach	marine biome_beach_coastal sea water	5.0	0.2
Environmental	Aquatic	Marine	Intertidal zone	Beach	marine biome	beach	sand	ENVO_00000447	ENVO_00000091	ENVO_01000017	1.0	Environmental_Aquatic_Marine_Intertidal zone_Beach	marine biome_beach_sand	5.0	0.2
Environmental	Aquatic	Marine	Intertidal zone	Beach	marine biome	intertidal zone	sea water	ENVO_00000447	ENVO_00000316	ENVO_00002149	1.0	Environmental_Aquatic_Marine_Intertidal zone_Beach	marine biome_intertidal zone_sea water	5.0	0.2
Environmental	Terrestrial	Deep subsurface	Oil well	Unclassified	terrestrial biome	borehole	rock	ENVO_00000446	ENVO_00002226	ENVO_00001995	1.0	Environmental_Terrestrial_Deep subsurface_Oil well_Unclassified	terrestrial biome_borehole_rock	5.0	0.2
Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Unclassified	aquatic biome	hypersaline lake	hypersaline water	ENVO_00002030	ENVO_01001020	ENVO_00002012	26.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Hypersaline_Unclassified	aquatic biome_hypersaline lake_hypersaline water	134.0	0.19402985074626866
Environmental	Aquatic	Freshwater	Wetlands	Sediment	freshwater biome	wetland area	sediment	ENVO_00000873	ENVO_00000043	ENVO_00002007	29.0	Environmental_Aquatic_Freshwater_Wetlands_Sediment	freshwater biome_wetland area_sediment	150.0	0.19333333333333333
Environmental	Aquatic	Freshwater	Groundwater	Unclassified	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	37.0	Environmental_Aquatic_Freshwater_Groundwater_Unclassified	freshwater biome_planetary subsurface zone_groundwater	192.0	0.19270833333333334
Environmental	Aquatic	Marine	Cold seeps	Sediment	marine benthic biome	marine benthic feature	marine sediment	ENVO_01000024	ENVO_01000105	ENVO_03000033	5.0	Environmental_Aquatic_Marine_Cold seeps_Sediment	marine benthic biome_marine benthic feature_marine sediment	26.0	0.19230769230769232
Environmental	Terrestrial	Soil	Wetlands	Unclassified	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	49.0	Environmental_Terrestrial_Soil_Wetlands_Unclassified	tropical biome_peatland_peat soil	258.0	0.18992248062015504
Environmental	Terrestrial	Geologic	Unclassified	Unclassified	terrestrial biome	land	soil	ENVO_00000446	ENVO_01001785	ENVO_00001998	3.0	Environmental_Terrestrial_Geologic_Unclassified_Unclassified	terrestrial biome_land_soil	16.0	0.1875
Environmental	Aquatic	Marine	Volcanic	Unclassified	marine hydrothermal vent biome	volcano	sea water	ENVO_01000030	ENVO_00000247	ENVO_00002149	5.0	Environmental_Aquatic_Marine_Volcanic_Unclassified	marine hydrothermal vent biome_volcano_sea water	27.0	0.18518518518518517
Environmental	Aquatic	Freshwater	Wetlands	Unclassified	aquatic biome	wetland area	sediment	ENVO_00002030	ENVO_00000043	ENVO_00002007	12.0	Environmental_Aquatic_Freshwater_Wetlands_Unclassified	aquatic biome_wetland area_sediment	65.0	0.18461538461538463
Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	marine hydrothermal vent biome	marine hydrothermal plume	hydrothermal fluid	ENVO_01000030	ENVO_01000130	ENVO_01000134	26.0	Environmental_Aquatic_Marine_Hydrothermal vents_Unclassified	marine hydrothermal vent biome_marine hydrothermal plume_hydrothermal fluid	141.0	0.18439716312056736
Environmental	Aquatic	Freshwater	Groundwater	Contaminated	freshwater biome	anthropogenic contamination feature	contaminated water	ENVO_00000873	ENVO_00002204	ENVO_00002186	17.0	Environmental_Aquatic_Freshwater_Groundwater_Contaminated	freshwater biome_anthropogenic contamination feature_contaminated water	93.0	0.1827956989247312
Environmental	Terrestrial	Soil	Loam	Grasslands	terrestrial biome	prairie	soil	ENVO_00000446	ENVO_00000260	ENVO_00001998	14.0	Environmental_Terrestrial_Soil_Loam_Grasslands	terrestrial biome_prairie_soil	77.0	0.18181818181818182
Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Sediment	aquatic biome	saline lake	lake sediment	ENVO_00002030	ENVO_00000019	ENVO_00000546	2.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Alkaline_Sediment	aquatic biome_saline lake_lake sediment	11.0	0.18181818181818182
Environmental	Terrestrial	Oil reservoir	Unclassified	Unclassified	terrestrial biome	oil reservoir	sand	ENVO_00000446	ENVO_00002185	ENVO_01000017	17.0	Environmental_Terrestrial_Oil reservoir_Unclassified_Unclassified	terrestrial biome_oil reservoir_sand	94.0	0.18085106382978725
Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	marine salt marsh biome	intertidal zone	sediment	ENVO_01000022	ENVO_00000316	ENVO_00002007	55.0	Environmental_Aquatic_Marine_Intertidal zone_Salt marsh	marine salt marsh biome_intertidal zone_sediment	305.0	0.18032786885245902
Environmental	Aquatic	Marine	Intertidal zone	Microbialites	marine biome	intertidal zone	-	ENVO_00000447	ENVO_00000316	-	7.0	Environmental_Aquatic_Marine_Intertidal zone_Microbialites	marine biome_intertidal zone_-	39.0	0.1794871794871795
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Sediment	aquatic biome	lagoon	sediment	ENVO_00002030	ENVO_00000038	ENVO_00002007	5.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Sediment	aquatic biome_lagoon_sediment	29.0	0.1724137931034483
Environmental	Aquatic	Marine	Intertidal zone	Sediment	marine benthic biome	marine benthic feature	marine sediment	ENVO_01000024	ENVO_01000105	ENVO_03000033	11.0	Environmental_Aquatic_Marine_Intertidal zone_Sediment	marine benthic biome_marine benthic feature_marine sediment	64.0	0.171875
Environmental	Aquatic	Marine	Oceanic	Photic zone	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	17.0	Environmental_Aquatic_Marine_Oceanic_Photic zone	marine biome_marine water body_sea water	100.0	0.17
Environmental	Terrestrial	Soil	Unclassified	Oil-contaminated	terrestrial biome	field	contaminated soil	ENVO_00000446	ENVO_01000352	ENVO_00002116	7.0	Environmental_Terrestrial_Soil_Unclassified_Oil-contaminated	terrestrial biome_field_contaminated soil	42.0	0.16666666666666666
Environmental	Aquatic	Marine	Oceanic	Benthic	ocean biome	marine benthic feature	basalt	ENVO_01000048	ENVO_01000105	ENVO_01000236	2.0	Environmental_Aquatic_Marine_Oceanic_Benthic	ocean biome_marine benthic feature_basalt	12.0	0.16666666666666666
Environmental	Terrestrial	Deep subsurface	Aquifer	Unclassified	terrestrial biome	aquifer	groundwater	ENVO_00000446	ENVO_00012408	ENVO_01001004	1.0	Environmental_Terrestrial_Deep subsurface_Aquifer_Unclassified	terrestrial biome_aquifer_groundwater	6.0	0.16666666666666666
Environmental	Aquatic	Marine	Intertidal zone	Coral reef	marine coral reef biome	coral reef	organism	ENVO_01000049	ENVO_00000150	OBI_0100026	32.0	Environmental_Aquatic_Marine_Intertidal zone_Coral reef	marine coral reef biome_coral reef_organism	193.0	0.16580310880829016
Environmental	Terrestrial	Soil	Unclassified	Desert	terrestrial biome	plateau	soil	ENVO_00000446	ENVO_00000182	ENVO_00001998	15.0	Environmental_Terrestrial_Soil_Unclassified_Desert	terrestrial biome_plateau_soil	91.0	0.16483516483516483
Environmental	Terrestrial	Soil	Loam	Agricultural soil	terrestrial biome	rhizosphere	bulk soil	ENVO_00000446	ENVO_00005801	ENVO_00005802	9.0	Environmental_Terrestrial_Soil_Loam_Agricultural soil	terrestrial biome_rhizosphere_bulk soil	55.0	0.16363636363636364
Environmental	Terrestrial	Soil	Unclassified	Contaminated	terrestrial biome	-	contaminated soil	ENVO_00000446	-	ENVO_00002116	7.0	Environmental_Terrestrial_Soil_Unclassified_Contaminated	terrestrial biome_-_contaminated soil	43.0	0.16279069767441862
Environmental	Aquatic	Marine	Oceanic	Abyssal plane	oceanic abyssopelagic zone biome	abyssal plain	sea water	ENVO_01000038	ENVO_00000244	ENVO_00002149	12.0	Environmental_Aquatic_Marine_Oceanic_Abyssal plane	oceanic abyssopelagic zone biome_abyssal plain_sea water	76.0	0.15789473684210525
Environmental	Terrestrial	Soil	Sand	Desert	terrestrial biome	plateau	soil	ENVO_00000446	ENVO_00000182	ENVO_00001998	27.0	Environmental_Terrestrial_Soil_Sand_Desert	terrestrial biome_plateau_soil	174.0	0.15517241379310345
Environmental	Aquatic	Marine	Neritic zone	Unclassified	marine biome	oceanic subsurface zone	sea water	ENVO_00000447	ENVO_01001045	ENVO_00002149	9.0	Environmental_Aquatic_Marine_Neritic zone_Unclassified	marine biome_oceanic subsurface zone_sea water	58.0	0.15517241379310345
Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Unclassified	aquatic biome	saline lake	lake water	ENVO_00002030	ENVO_00000019	ENVO_04000007	2.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Alkaline_Unclassified	aquatic biome_saline lake_lake water	13.0	0.15384615384615385
Environmental	Aquatic	Thermal springs	Hot (42-90C)	Acidic	aquatic biome	sulfur spring	acid	ENVO_00002030	ENVO_00000126	CHEBI_37527	2.0	Environmental_Aquatic_Thermal springs_Hot (42-90C)_Acidic	aquatic biome_sulfur spring_acid	13.0	0.15384615384615385
Environmental	Terrestrial	Agricultural field	Unclassified	Unclassified	terrestrial biome	ranch	agricultural soil	ENVO_00000446	ENVO_01001207	ENVO_00002259	7.0	Environmental_Terrestrial_Agricultural field_Unclassified_Unclassified	terrestrial biome_ranch_agricultural soil	46.0	0.15217391304347827
Environmental	Aquatic	Sediment	Unclassified	Unclassified	estuarine biome	estuary	sediment	ENVO_01000020	ENVO_00000045	ENVO_00002007	19.0	Environmental_Aquatic_Sediment_Unclassified_Unclassified	estuarine biome_estuary_sediment	125.0	0.152
Environmental	Aquatic	Freshwater	River	Sediment	freshwater river biome	estuary	sediment	ENVO_01000253	ENVO_00000045	ENVO_00002007	16.0	Environmental_Aquatic_Freshwater_River_Sediment	freshwater river biome_estuary_sediment	106.0	0.1509433962264151
Environmental	Terrestrial	Soil	Unclassified	Grasslands	grassland biome	land	grassland soil	ENVO_01000177	ENVO_01001785	ENVO_00005750	80.0	Environmental_Terrestrial_Soil_Unclassified_Grasslands	grassland biome_land_grassland soil	532.0	0.15037593984962405
Environmental	Aquatic	Non-marine Saline and Alkaline	Unclassified	Unclassified	aquatic biome	lake	lake water	ENVO_00002030	ENVO_00000020	ENVO_04000007	3.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Unclassified_Unclassified	aquatic biome_lake_lake water	20.0	0.15
Environmental	Aquatic	Non-marine Saline and Alkaline	Unclassified	Unclassified	aquatic biome	spring	microbial mat	ENVO_00002030	ENVO_00000027	ENVO_01000008	3.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Unclassified_Unclassified	aquatic biome_spring_microbial mat	20.0	0.15
Environmental	Aquatic	Freshwater	Wetlands	Sediment	freshwater river biome	freshwater marsh	sediment	ENVO_01000253	ENVO_00000053	ENVO_00002007	22.0	Environmental_Aquatic_Freshwater_Wetlands_Sediment	freshwater river biome_freshwater marsh_sediment	150.0	0.14666666666666667
Environmental	Terrestrial	Soil	Wetlands	Permafrost	terrestrial biome	wetland area	leachate	ENVO_00000446	ENVO_00000043	ENVO_00002141	14.0	Environmental_Terrestrial_Soil_Wetlands_Permafrost	terrestrial biome_wetland area_leachate	96.0	0.14583333333333334
Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	pedosphere	soil	ENVO_00000446	ENVO_01000820	ENVO_00001998	368.0	Environmental_Terrestrial_Soil_Unclassified_Unclassified	terrestrial biome_pedosphere_soil	2531.0	0.1453970762544449
Environmental	Terrestrial	Soil	Unclassified	Agricultural land	terrestrial biome	agricultural field	bulk soil	ENVO_00000446	ENVO_00000114	ENVO_00005802	115.0	Environmental_Terrestrial_Soil_Unclassified_Agricultural land	terrestrial biome_agricultural field_bulk soil	803.0	0.1432129514321295
Environmental	Terrestrial	Peat	Unclassified	Unclassified	forest biome	peatland	peat soil	ENVO_01000174	ENVO_00000044	ENVO_00005774	126.0	Environmental_Terrestrial_Peat_Unclassified_Unclassified	forest biome_peatland_peat soil	880.0	0.1431818181818182
Environmental	Terrestrial	Soil	Unclassified	Desert	desert biome	endolithic environment	biofilm	ENVO_01000179	ENVO_01000303	ENVO_00002034	13.0	Environmental_Terrestrial_Soil_Unclassified_Desert	desert biome_endolithic environment_biofilm	91.0	0.14285714285714285
Environmental	Terrestrial	Soil	Unclassified	Uranium contaminated	terrestrial biome	drainage basin	contaminated soil	ENVO_00000446	ENVO_00000291	ENVO_00002116	7.0	Environmental_Terrestrial_Soil_Unclassified_Uranium contaminated	terrestrial biome_drainage basin_contaminated soil	49.0	0.14285714285714285
Environmental	Aquatic	Marine	Neritic zone	Sediment	marine benthic biome	marine neritic zone	marine sediment	ENVO_01000024	ENVO_00000206	ENVO_03000033	3.0	Environmental_Aquatic_Marine_Neritic zone_Sediment	marine benthic biome_marine neritic zone_marine sediment	21.0	0.14285714285714285
Environmental	Aquatic	Freshwater	Microbialites	Unclassified	freshwater lake biome	underground lake	stromatolite mat	ENVO_01000252	ENVO_00000058	ENVO_00002157	2.0	Environmental_Aquatic_Freshwater_Microbialites_Unclassified	freshwater lake biome_underground lake_stromatolite mat	14.0	0.14285714285714285
Environmental	Terrestrial	Cave	Unclassified	Unclassified	terrestrial biome	cave	biofilm material	ENVO_00000446	ENVO_00000067	ENVO_01000156	2.0	Environmental_Terrestrial_Cave_Unclassified_Unclassified	terrestrial biome_cave_biofilm material	14.0	0.14285714285714285
Environmental	Terrestrial	Cave	Unclassified	Unclassified	terrestrial biome	cave	microbial mat	ENVO_00000446	ENVO_00000067	ENVO_01000008	2.0	Environmental_Terrestrial_Cave_Unclassified_Unclassified	terrestrial biome_cave_microbial mat	14.0	0.14285714285714285
Environmental	Aquatic	Freshwater	Subglacial lake	Unclassified	freshwater lake biome	subglacial lake	microbial mat	ENVO_01000252	ENVO_03000120	ENVO_01000008	1.0	Environmental_Aquatic_Freshwater_Subglacial lake_Unclassified	freshwater lake biome_subglacial lake_microbial mat	7.0	0.14285714285714285
Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline	Microbial mats	freshwater lake biome	freshwater lake	microbial mat	ENVO_01000252	ENVO_00000021	ENVO_01000008	1.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Alkaline_Microbial mats	freshwater lake biome_freshwater lake_microbial mat	7.0	0.14285714285714285
Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	sediment	ENVO_00000446	ENVO_01000941	ENVO_00002007	15.0	Environmental_Terrestrial_Deep subsurface_Unclassified_Unclassified	terrestrial biome_planetary subsurface zone_sediment	106.0	0.14150943396226415
Environmental	Aquatic	Marine	Intertidal zone	Sediment	marine benthic biome	bay	marine sediment	ENVO_01000024	ENVO_00000032	ENVO_03000033	9.0	Environmental_Aquatic_Marine_Intertidal zone_Sediment	marine benthic biome_bay_marine sediment	64.0	0.140625
Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	marine hydrothermal vent biome	undersea feature	deep marine sediment	ENVO_01000030	ENVO_00000104	ENVO_00002113	11.0	Environmental_Aquatic_Marine_Hydrothermal vents_Sediment	marine hydrothermal vent biome_undersea feature_deep marine sediment	80.0	0.1375
Environmental	Aquatic	Marine	Hydrothermal vents	Microbial mats	marine hydrothermal vent biome	ocean trench	microbial mat	ENVO_01000030	ENVO_00000275	ENVO_01000008	7.0	Environmental_Aquatic_Marine_Hydrothermal vents_Microbial mats	marine hydrothermal vent biome_ocean trench_microbial mat	51.0	0.13725490196078433
Environmental	Terrestrial	Soil	Unclassified	Forest Soil	subpolar coniferous forest biome	solid layer	forest soil	ENVO_01000250	ENVO_01001275	ENVO_00002261	212.0	Environmental_Terrestrial_Soil_Unclassified_Forest Soil	subpolar coniferous forest biome_solid layer_forest soil	1549.0	0.1368624919302776
Environmental	Terrestrial	Soil	Clay	Unclassified	terrestrial biome	land	acidic soil	ENVO_00000446	ENVO_01001785	ENVO_01001185	3.0	Environmental_Terrestrial_Soil_Clay_Unclassified	terrestrial biome_land_acidic soil	22.0	0.13636363636363635
Environmental	Aquatic	Thermal springs	Unclassified	Unclassified	aquatic biome	hot spring	microbial mat	ENVO_00002030	ENVO_00000051	ENVO_01000008	14.0	Environmental_Aquatic_Thermal springs_Unclassified_Unclassified	aquatic biome_hot spring_microbial mat	105.0	0.13333333333333333
Environmental	Aquatic	Freshwater	Ice	Unclassified	polar desert biome	desert	ice	ENVO_01000186	ENVO_01001357	ENVO_01001125	6.0	Environmental_Aquatic_Freshwater_Ice_Unclassified	polar desert biome_desert_ice	45.0	0.13333333333333333
Environmental	Aquatic	Freshwater	Sediment	Unclassified	freshwater river biome	river	-	ENVO_01000253	ENVO_00000022	-	37.0	Environmental_Aquatic_Freshwater_Sediment_Unclassified	freshwater river biome_river_-	291.0	0.12714776632302405
Environmental	Aquatic	Freshwater	River	Unclassified	-	-	-	-	-	-	109.0	Environmental_Aquatic_Freshwater_River_Unclassified	-_-_-	866.0	0.1258660508083141
Environmental	Terrestrial	Geologic	Unclassified	Unclassified	desert biome	desert	rock	ENVO_01000179	ENVO_01001357	ENVO_00001995	2.0	Environmental_Terrestrial_Geologic_Unclassified_Unclassified	desert biome_desert_rock	16.0	0.125
Environmental	Terrestrial	Volcanic	Fumaroles	Unclassified	terrestrial biome	volcano	sediment	ENVO_00000446	ENVO_00000247	ENVO_00002007	1.0	Environmental_Terrestrial_Volcanic_Fumaroles_Unclassified	terrestrial biome_volcano_sediment	8.0	0.125
Environmental	Aquatic	Freshwater	River	Unclassified	freshwater river biome	-	-	ENVO_01000253	-	-	108.0	Environmental_Aquatic_Freshwater_River_Unclassified	freshwater river biome_-_-	866.0	0.12471131639722864
Environmental	Aquatic	Marine	Intertidal zone	Unclassified	marine biome	bay	sea water	ENVO_00000447	ENVO_00000032	ENVO_00002149	40.0	Environmental_Aquatic_Marine_Intertidal zone_Unclassified	marine biome_bay_sea water	322.0	0.12422360248447205
Environmental	Aquatic	Freshwater	Sediment	Unclassified	freshwater biome	pond	sediment	ENVO_00000873	ENVO_00000033	ENVO_00002007	36.0	Environmental_Aquatic_Freshwater_Sediment_Unclassified	freshwater biome_pond_sediment	291.0	0.12371134020618557
Environmental	Aquatic	Freshwater	Wetlands	Bog	aquatic biome	wetland area	forest soil	ENVO_00002030	ENVO_00000043	ENVO_00002261	12.0	Environmental_Aquatic_Freshwater_Wetlands_Bog	aquatic biome_wetland area_forest soil	97.0	0.12371134020618557
Environmental	Aquatic	Freshwater	Drinking water	Delivery networks	freshwater biome	-	biofilm	ENVO_00000873	-	ENVO_00002034	3.0	Environmental_Aquatic_Freshwater_Drinking water_Delivery networks	freshwater biome_-_biofilm	25.0	0.12
Environmental	Aquatic	Freshwater	Pond	Unclassified	freshwater biome	-	planktonic material	ENVO_00000873	-	ENVO_01000063	16.0	Environmental_Aquatic_Freshwater_Pond_Unclassified	freshwater biome_-_planktonic material	137.0	0.11678832116788321
Environmental	Terrestrial	Soil	Unclassified	Grasslands	tropical grassland biome	solid layer	grassland soil	ENVO_01000192	ENVO_01001275	ENVO_00005750	62.0	Environmental_Terrestrial_Soil_Unclassified_Grasslands	tropical grassland biome_solid layer_grassland soil	532.0	0.11654135338345864
Environmental	Terrestrial	Soil	Wetlands	Unclassified	terrestrial biome	fen	peat soil	ENVO_00000446	ENVO_00000232	ENVO_00005774	30.0	Environmental_Terrestrial_Soil_Wetlands_Unclassified	terrestrial biome_fen_peat soil	258.0	0.11627906976744186
Environmental	Terrestrial	Soil	Unclassified	Contaminated	terrestrial biome	agricultural field	contaminated soil	ENVO_00000446	ENVO_00000114	ENVO_00002116	5.0	Environmental_Terrestrial_Soil_Unclassified_Contaminated	terrestrial biome_agricultural field_contaminated soil	43.0	0.11627906976744186
Environmental	Aquatic	Freshwater	Drinking water	Unclassified	aquatic biome	-	drinking water	ENVO_00002030	-	ENVO_00003064	8.0	Environmental_Aquatic_Freshwater_Drinking water_Unclassified	aquatic biome_-_drinking water	69.0	0.11594202898550725
