ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	sum	proportion
Environmental	Terrestrial	Agricultural field	Paddy soil	Unclassified	terrestrial biome	paddy field	paddy field soil	ENVO_00000446	ENVO_00000297	ENVO_00005740	26.0	Environmental_Terrestrial_Agricultural field_Paddy soil_Unclassified	terrestrial biome_paddy field_paddy field soil	26.0	1.0
Environmental	Aquatic	Floodplain	Sediment	Unclassified	freshwater biome	flood plain	sediment	ENVO_00000873	ENVO_00000255	ENVO_00002007	24.0	Environmental_Aquatic_Floodplain_Sediment_Unclassified	freshwater biome_flood plain_sediment	24.0	1.0
Environmental	Aquatic	Marine	River plume	Plankton	marine biome	plume front	planktonic material	ENVO_00000447	ENVO_01000085	ENVO_01000063	22.0	Environmental_Aquatic_Marine_River plume_Plankton	marine biome_plume front_planktonic material	22.0	1.0
Environmental	Aquatic	Marine	Hydrothermal vents	Black smokers	marine black smoker biome	black smoker	sea water	ENVO_01000051	ENVO_00000218	ENVO_00002149	20.0	Environmental_Aquatic_Marine_Hydrothermal vents_Black smokers	marine black smoker biome_black smoker_sea water	20.0	1.0
Environmental	Aquatic	Thermal springs	Warm (34-42C)	Neutral	aquatic biome	hot spring	-	ENVO_00002030	ENVO_00000051	-	20.0	Environmental_Aquatic_Thermal springs_Warm (34-42C)_Neutral	aquatic biome_hot spring_-	20.0	1.0
Environmental	Aquatic	Marine	Ocean trench	Unclassified	marine biome	ocean trench	sea water	ENVO_00000447	ENVO_00000275	ENVO_00002149	16.0	Environmental_Aquatic_Marine_Ocean trench_Unclassified	marine biome_ocean trench_sea water	16.0	1.0
Environmental	Aquatic	Freshwater	River	Microbial mats	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	15.0	Environmental_Aquatic_Freshwater_River_Microbial mats	freshwater river biome_river_microbial mat	15.0	1.0
Environmental	Aquatic	Marine	Gulf	Unclassified	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	15.0	Environmental_Aquatic_Marine_Gulf_Unclassified	marine biome_marine water body_sea water	15.0	1.0
Environmental	Aquatic	Marine	Deep subsurface	Deep subsurface	marine biome	oceanic subsurface zone	sea water	ENVO_00000447	ENVO_01001045	ENVO_00002149	14.0	Environmental_Aquatic_Marine_Deep subsurface_Deep subsurface	marine biome_oceanic subsurface zone_sea water	14.0	1.0
Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Sediment	aquatic biome	hypersaline lake	lake sediment	ENVO_00002030	ENVO_01001020	ENVO_00000546	13.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Hypersaline_Sediment	aquatic biome_hypersaline lake_lake sediment	13.0	1.0
Environmental	Aquatic	Freshwater	Desert springs	Benthic	aquatic biome	hot spring	-	ENVO_00002030	ENVO_00000051	-	12.0	Environmental_Aquatic_Freshwater_Desert springs_Benthic	aquatic biome_hot spring_-	12.0	1.0
Environmental	Aquatic	Freshwater	Sinkhole	Unclassified	freshwater lake biome	sinkhole	fresh water	ENVO_01000252	ENVO_00000195	ENVO_00002011	12.0	Environmental_Aquatic_Freshwater_Sinkhole_Unclassified	freshwater lake biome_sinkhole_fresh water	12.0	1.0
Environmental	Aquatic	Marine	Coastal	Brine	marine biome	coastal water body	brine	ENVO_00000447	ENVO_02000049	ENVO_00003044	12.0	Environmental_Aquatic_Marine_Coastal_Brine	marine biome_coastal water body_brine	12.0	1.0
Environmental	Terrestrial	Soil	Unclassified	Boreal forest	forest biome	soil surface layer	forest soil	ENVO_01000174	ENVO_04000010	ENVO_00002261	12.0	Environmental_Terrestrial_Soil_Unclassified_Boreal forest	forest biome_soil surface layer_forest soil	12.0	1.0
Environmental	Aquatic	Marine	Deep subsurface	Rock	marine biome	oceanic subsurface zone	rock	ENVO_00000447	ENVO_01001045	ENVO_00001995	11.0	Environmental_Aquatic_Marine_Deep subsurface_Rock	marine biome_oceanic subsurface zone_rock	11.0	1.0
Environmental	Aquatic	Freshwater	River	River biofilm	freshwater river biome	river	biofilm	ENVO_01000253	ENVO_00000022	ENVO_00002034	9.0	Environmental_Aquatic_Freshwater_River_River biofilm	freshwater river biome_river_biofilm	9.0	1.0
Environmental	Aquatic	Marine	Mud volcano	Sediment	marine hydrothermal vent biome	mud volcano	marine sediment	ENVO_01000030	ENVO_00000402	ENVO_03000033	9.0	Environmental_Aquatic_Marine_Mud volcano_Sediment	marine hydrothermal vent biome_mud volcano_marine sediment	9.0	1.0
Environmental	Aquatic	Marine	Archipelago	Sediment	marine biome	archipelago	marine sediment	ENVO_00000447	ENVO_00000220	ENVO_03000033	8.0	Environmental_Aquatic_Marine_Archipelago_Sediment	marine biome_archipelago_marine sediment	8.0	1.0
Environmental	Aquatic	Marine	Marginal Sea	Unclassified	tropical marine coral reef biome	coral reef	sea water	ENVO_01000854	ENVO_00000150	ENVO_00002149	8.0	Environmental_Aquatic_Marine_Marginal Sea_Unclassified	tropical marine coral reef biome_coral reef_sea water	8.0	1.0
Host-associated	Microbial	Bacteria	Unclassified	Unclassified	aquatic biome	hot spring	microbial mat	ENVO_00002030	ENVO_00000051	ENVO_01000008	8.0	Host-associated_Microbial_Bacteria_Unclassified_Unclassified	aquatic biome_hot spring_microbial mat	8.0	1.0
