subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDVOCAB:Reptilia	Reptilia	skos:closeMatch	NCBITaxon:8504	Lepidosauria	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	reptilia
GOLDVOCAB:Sea-Urchin	Sea Urchin	skos:exactMatch	NCBITaxon:7625	Echinoidea	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	sea urchin
GOLDVOCAB:Tunicates	Tunicates	skos:exactMatch	NCBITaxon:7712	Tunicata	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	tunicates
GOLDVOCAB:Unclassified	Unclassified	skos:closeMatch	NCBITaxon:12908	unclassified sequences	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	unclassified
GOLDVOCAB:Yellow-green-algae	Yellow-green algae	skos:exactMatch	NCBITaxon:2833	Xanthophyceae	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	yellow-green algae
GOLDTERMS:4590	Host-associated > Arthropoda > Mosquito	skos:exactMatch	NCBITaxon:7157	Culicidae	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	mosquito		semapv:RegularExpressionReplacement
GOLDTERMS:4603	Host-associated > Arthropoda > Beetle	skos:exactMatch	NCBITaxon:7041	Coleoptera	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	beetle		semapv:RegularExpressionReplacement
GOLDTERMS:4683	Host-associated > Invertebrates > Echinodermata > Sea Star	skos:exactMatch	NCBITaxon:7588	Asteroidea	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	sea star		semapv:RegularExpressionReplacement
GOLDTERMS:4904	Host-associated > Arthropoda > Ant	skos:exactMatch	NCBITaxon:36668	Formicidae	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	ant		semapv:RegularExpressionReplacement
GOLDTERMS:5105	Host-associated > Arthropoda > Moth	skos:exactMatch	NCBITaxon:7088	Lepidoptera	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	moth		semapv:RegularExpressionReplacement
GOLDTERMS:5108	Host-associated > Arthropoda > Grasshopper	skos:exactMatch	NCBITaxon:7001	Caelifera	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	grasshopper		semapv:RegularExpressionReplacement
GOLDTERMS:5118	Host-associated > Arthropoda > Mealybug	skos:exactMatch	NCBITaxon:30190	Pseudococcidae	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	mealybug		semapv:RegularExpressionReplacement
GOLDTERMS:5146	Host-associated > Arthropoda > Spider	skos:exactMatch	NCBITaxon:6893	Araneae	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	spider		semapv:RegularExpressionReplacement
GOLDTERMS:5198	Host-associated > Mollusca > Oyster	skos:exactMatch	NCBITaxon:6563	Ostreidae	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	oyster		semapv:RegularExpressionReplacement
GOLDVOCAB:Ant	Ant	skos:exactMatch	NCBITaxon:36668	Formicidae	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	ant		semapv:RegularExpressionReplacement
GOLDVOCAB:Beetle	Beetle	skos:exactMatch	NCBITaxon:7041	Coleoptera	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	beetle		semapv:RegularExpressionReplacement
GOLDVOCAB:Bugs	Bugs	skos:closeMatch	NCBITaxon:33343	Prosorrhyncha	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	bug	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
GOLDVOCAB:Bugs	Bugs	skos:closeMatch	NCBITaxon:7524	Hemiptera	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	bug	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
GOLDVOCAB:Grasshopper	Grasshopper	skos:exactMatch	NCBITaxon:7001	Caelifera	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	grasshopper		semapv:RegularExpressionReplacement
GOLDVOCAB:Mealybug	Mealybug	skos:exactMatch	NCBITaxon:30190	Pseudococcidae	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	mealybug		semapv:RegularExpressionReplacement
GOLDVOCAB:Mosquito	Mosquito	skos:exactMatch	NCBITaxon:7157	Culicidae	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	mosquito		semapv:RegularExpressionReplacement
GOLDVOCAB:Moth	Moth	skos:exactMatch	NCBITaxon:7088	Lepidoptera	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	moth		semapv:RegularExpressionReplacement
GOLDVOCAB:Oyster	Oyster	skos:exactMatch	NCBITaxon:6563	Ostreidae	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	oyster		semapv:RegularExpressionReplacement
GOLDVOCAB:Sea-Star	Sea Star	skos:exactMatch	NCBITaxon:7588	Asteroidea	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	sea star		semapv:RegularExpressionReplacement
GOLDVOCAB:Spider	Spider	skos:exactMatch	NCBITaxon:6893	Araneae	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	spider		semapv:RegularExpressionReplacement
GOLDVOCAB:Gymnolaemates	Gymnolaemates	skos:exactMatch	NCBITaxon:10206	Gymnolaemata	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	gymnolaemata		
GOLDVOCAB:Peat-moss	Peat moss	skos:exactMatch	NCBITaxon:13804	Sphagnum	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	sphagnum		
GOLDVOCAB:Sea-cucumber	Sea cucumber	skos:closeMatch	NCBITaxon:7705	Holothuroidea	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	sea cucumber		semapv:RegularExpressionReplacement
GOLDVOCAB:Fish	Fish	skos:closeMatch	NCBITaxon:7777	Chondrichthyes	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	fish		
GOLDTERMS:5202	Host-associated > Arthropoda > Lobster	skos:closeMatch	NCBITaxon:6704	Nephropidae	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	lobster		
GOLDVOCAB:Ascidians	Ascidians	skos:exactMatch	NCBITaxon:7713	Ascidiacea	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	ascidiacea		

