ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	count_prop	sum_gp	proportion_gp	sum_mixs	proportion_mixs	interest
Environmental	Aquatic	Marine	Oceanic	Aphotic zone	marine biome	marine aphotic zone	sea water	ENVO_00000447	ENVO_00000210	ENVO_00002149	56.0	Environmental_Aquatic_Marine_Oceanic_Aphotic zone	marine biome_marine aphotic zone_sea water	0.020334059549745823	63.0	0.8888888888888888	56.0	1.0	0.018074719599774063
Environmental	Aquatic	Freshwater	Ice	Glacier	aquatic biome	glacier ice field	ice	ENVO_00002030	ENVO_01001532	ENVO_01001125	61.0	Environmental_Aquatic_Freshwater_Ice_Glacier	aquatic biome_glacier ice field_ice	0.02214960058097313	75.0	0.8133333333333334	61.0	1.0	0.018015008472524813
Environmental	Aquatic	Aquaculture	Shrimp pond	Unclassified	aquatic biome	shrimp pond	pond water	ENVO_00002030	ENVO_01000905	ENVO_00002228	48.0	Environmental_Aquatic_Aquaculture_Shrimp pond_Unclassified	aquatic biome_shrimp pond_pond water	0.017429193899782137	48.0	1.0	48.0	1.0	0.017429193899782137
Environmental	Terrestrial	Soil	Unclassified	Orchard soil	terrestrial biome	orchard	orchard soil	ENVO_00000446	ENVO_00000115	ENVO_00005772	48.0	Environmental_Terrestrial_Soil_Unclassified_Orchard soil	terrestrial biome_orchard_orchard soil	0.017429193899782137	48.0	1.0	49.0	0.9795918367346939	0.017073496065092706
Environmental	Aquatic	Marine	Mesopelagic	Unclassified	oceanic mesopelagic zone biome	marine mesopelagic zone	sea water	ENVO_01000036	ENVO_00000213	ENVO_00002149	88.0	Environmental_Aquatic_Marine_Mesopelagic_Unclassified	oceanic mesopelagic zone biome_marine mesopelagic zone_sea water	0.03195352214960058	88.0	1.0	169.0	0.5207100591715976	0.016638520409259474
Environmental	Aquatic	Freshwater	River	Sediment	freshwater river biome	river		ENVO_01000253	ENVO_00000022		84.0	Environmental_Aquatic_Freshwater_River_Sediment	freshwater river biome_river_	0.030501089324618737	106.0	0.7924528301886793	123.0	0.6829268292682927	0.016506802137943692
Environmental	Aquatic	Freshwater	Lake	Unclassified							426.0	Environmental_Aquatic_Freshwater_Lake_Unclassified	__	0.15468409586056645	1493.0	0.2853315472203617	1201.0	0.3547044129891757	0.015655323499892175
Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	aquatic biome	hot spring		ENVO_00002030	ENVO_00000051		111.0	Environmental_Aquatic_Thermal springs_Hot (42-90C)_Unclassified	aquatic biome_hot spring_	0.04030501089324619	135.0	0.8222222222222222	259.0	0.42857142857142855	0.01420271812428675
Environmental	Aquatic	Freshwater	Sediment	Unclassified	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	180.0	Environmental_Aquatic_Freshwater_Sediment_Unclassified	freshwater lake biome_freshwater lake_lake sediment	0.06535947712418301	291.0	0.6185567010309279	516.0	0.3488372093023256	0.014102979959665479
Host-associated	Plants	Roots	Rhizosphere	Soil	terrestrial biome	rhizosphere	peat soil	ENVO_00000446	ENVO_00005801	ENVO_00005774	85.0	Host-associated_Plants_Roots_Rhizosphere_Soil	terrestrial biome_rhizosphere_peat soil	0.030864197530864196	138.0	0.6159420289855072	115.0	0.7391304347826086	0.01405128085447346
Host-associated	Plants	Roots	Bulk soil	Unclassified	terrestrial biome	rhizosphere	bulk soil	ENVO_00000446	ENVO_00005801	ENVO_00005802	53.0	Host-associated_Plants_Roots_Bulk soil_Unclassified	terrestrial biome_rhizosphere_bulk soil	0.01924473493100944	53.0	1.0	75.0	0.7066666666666667	0.013599612684580004
