	ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	ENV_BROAD_SCALE_LABEL	ENV_LOCAL_SCALE_LABEL	ENV_MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT
182	Environmental	Terrestrial	Soil	Wetlands	Unclassified	terrestrial biome	fen	peat soil	ENVO_00000446	ENVO_00000232	ENVO_00005774	30
183	Host-associated	Plants	Rhizosphere	Soil	Unclassified	terrestrial biome	rhizosphere	peat soil	ENVO_00000446	ENVO_00005801	ENVO_00005774	30
184	Environmental	Aquatic	Freshwater	Wetlands	Sediment	freshwater biome	wetland area	sediment	ENVO_00000873	ENVO_00000043	ENVO_00002007	29
185	Environmental	Aquatic	Marine	Bathypelagic	Unclassified	oceanic bathypelagic zone biome	marine bathypelagic zone	sea water	ENVO_01000037	ENVO_00000211	ENVO_00002149	29
186	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	rock	ENVO_00000446	ENVO_01000941	ENVO_00001995	29
187	Environmental	Terrestrial	Unclassified	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	hydrocarbon	ENVO_00000446	ENVO_01000941	CHEBI_24632	29
188	Environmental	Aquatic	Freshwater	Groundwater	Contaminated	aquatic biome		contaminated water	ENVO_00002030		ENVO_00002186	28
189	Environmental	Aquatic	Freshwater	Groundwater	Contaminated	freshwater biome		groundwater	ENVO_00000873		ENVO_01001004	28
190	Environmental	Terrestrial	Soil	Soil crust	Unclassified	terrestrial biome	land	soil biocrust	ENVO_00000446	ENVO_01001785	ENVO_01000910	28
191	Environmental	Terrestrial	Soil	Unclassified	Unclassified	freshwater river biome	river	sediment	ENVO_01000253	ENVO_00000022	ENVO_00002007	28
192	Environmental	Terrestrial	Soil	Wetlands	Permafrost	terrestrial biome	active permafrost layer	permafrost	ENVO_00000446	ENVO_04000009	ENVO_00000134	28
193	Environmental	Aquatic	Freshwater	Lake	Anoxic zone	freshwater lake biome	freshwater lake	anoxic water	ENVO_01000252	ENVO_00000021	ENVO_01000173	27
194	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified	aquatic biome		saline water	ENVO_00002030		ENVO_00002010	27
195	Environmental	Terrestrial	Rock-dwelling (endoliths)	Unclassified	Unclassified	desert biome	endolithic environment		ENVO_01000179	ENVO_01000303		27
196	Environmental	Terrestrial	Soil	Sand	Desert	terrestrial biome	plateau	soil	ENVO_00000446	ENVO_00000182	ENVO_00001998	27
197	Environmental	Terrestrial	Soil	Unclassified	Desert	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	27
198	Environmental	Aquatic	Freshwater	Tap water	Unclassified	freshwater biome		tap water	ENVO_00000873		ENVO_00003096	26
199	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	marine hydrothermal vent biome	marine hydrothermal plume	hydrothermal fluid	ENVO_01000030	ENVO_01000130	ENVO_01000134	26
200	Environmental	Aquatic	Marine	Intertidal zone	Unclassified	marine biome	marine water body	planktonic material	ENVO_00000447	ENVO_00001999	ENVO_01000063	26
201	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Unclassified	aquatic biome	hypersaline lake	hypersaline water	ENVO_00002030	ENVO_01001020	ENVO_00002012	26
202	Environmental	Terrestrial	Agricultural field	Paddy soil	Unclassified	terrestrial biome	paddy field	paddy field soil	ENVO_00000446	ENVO_00000297	ENVO_00005740	26
203	Environmental	Terrestrial	Peat	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	fracking liquid	ENVO_00000446	ENVO_01000941	ENVO_01001869	26
204	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	microcosm	soil	ENVO_00000446	ENVO_01000621	ENVO_00001998	26
205	Host-associated	Plants	Rhizosphere	Soil	Unclassified	terrestrial biome	rhizosphere	soil	ENVO_00000446	ENVO_00005801	ENVO_00001998	26
206	Environmental	Aquatic	Freshwater	Lake	Sediment	freshwater lake biome	sinkhole	microbial mat	ENVO_01000252	ENVO_00000195	ENVO_01000008	25
207	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	coastal inlet	sea water	ENVO_00000447	ENVO_00000137	ENVO_00002149	25
208	Environmental	Terrestrial	Plant litter	Unclassified	Unclassified	terrestrial biome	valley	plant litter	ENVO_00000446	ENVO_00000100	ENVO_01000628	25
209	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	valley	bulk soil	ENVO_00000446	ENVO_00000100	ENVO_00005802	25
210	Environmental	Terrestrial	Soil	Wetlands	Permafrost	terrestrial biome	palsa	permafrost	ENVO_00000446	ENVO_00000489	ENVO_00000134	25
211	Environmental	Aquatic	Floodplain	Sediment	Unclassified	freshwater biome	flood plain	sediment	ENVO_00000873	ENVO_00000255	ENVO_00002007	24
212	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	humic lake	lake water	ENVO_01000252	ENVO_01001021	ENVO_04000007	24
213	Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	estuary	coastal sea water	ENVO_00000447	ENVO_00000045	ENVO_00002150	24
214	Environmental	Aquatic	Marine	Intertidal zone	Microbialites	marine biome		limestone	ENVO_00000447		ENVO_00002053	24
215	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified	aquatic biome	pond	pond water	ENVO_00002030	ENVO_00000033	ENVO_00002228	24
216	Environmental	Terrestrial	Rock-dwelling (endoliths)	Unclassified	Unclassified	desert biome	endolithic environment	rock	ENVO_01000179	ENVO_01000303	ENVO_00001995	24
217	Environmental	Terrestrial	Soil	Unclassified	Desert	desert biome	desert	soil biocrust	ENVO_01000179	ENVO_01001357	ENVO_01000910	24
218	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	coniferous forest biome	land	forest soil	ENVO_01000196	ENVO_01001785	ENVO_00002261	24
219	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	solid layer	heat stressed soil	ENVO_01000174	ENVO_01001275	ENVO_00005781	24
220	Environmental	Terrestrial	Soil	Unclassified	Grasslands	terrestrial biome	prairie	bulk soil	ENVO_00000446	ENVO_00000260	ENVO_00005802	24
221	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	land	biofilm	ENVO_00000446	ENVO_01001785	ENVO_00002034	24
222	Environmental	Terrestrial	Soil	Unclassified	Unclassified	tundra biome	tundra	soil	ENVO_01000180	ENVO_00000112	ENVO_00001998	24
223	Environmental	Aquatic	Freshwater	Drinking water	Unclassified	freshwater biome		drinking water	ENVO_00000873		ENVO_00003064	23
224	Environmental	Aquatic	Freshwater	Groundwater	Acid Mine Drainage	aquatic biome	acid mine drainage	acidic water	ENVO_00002030	ENVO_00001997	ENVO_01000358	23
225	Environmental	Aquatic	Freshwater	Groundwater	Acid Mine Drainage	aquatic biome	acid mine drainage	biofilm	ENVO_00002030	ENVO_00001997	ENVO_00002034	23
226	Environmental	Aquatic	Marine	Intertidal zone	Sediment	marine biome	intertidal zone	marine sediment	ENVO_00000447	ENVO_00000316	ENVO_03000033	23
227	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	coastal water body	coastal sea water	ENVO_00000447	ENVO_02000049	ENVO_00002150	23
228	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	oil shale	ENVO_00000446	ENVO_01000941	ENVO_02000119	23
229	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	shale	ENVO_00000446	ENVO_01000941	ENVO_00002056	23
230	Environmental	Terrestrial	Soil	Unclassified	Grasslands	grassland biome	soil surface layer	grassland soil	ENVO_01000177	ENVO_04000010	ENVO_00005750	23
231	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	glacial lake	lake water	ENVO_01000252	ENVO_00000488	ENVO_04000007	22
232	Environmental	Aquatic	Freshwater	Wetlands	Sediment	freshwater river biome	freshwater marsh	sediment	ENVO_01000253	ENVO_00000053	ENVO_00002007	22
233	Environmental	Aquatic	Marine	River plume	Plankton	marine biome	plume front	planktonic material	ENVO_00000447	ENVO_01000085	ENVO_01000063	22
234	Environmental	Terrestrial	Soil	Loam	Forest soil	forest biome	land	fertilized soil	ENVO_01000174	ENVO_01001785	ENVO_00005754	22
235	Environmental	Aquatic	Freshwater	Drinking water	Delivery networks	freshwater biome		drinking water	ENVO_00000873		ENVO_00003064	21
236	Environmental	Aquatic	Freshwater	Unclassified	Unclassified	freshwater biome			ENVO_00000873			21
237	Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	lagoon	sea water	ENVO_00000447	ENVO_00000038	ENVO_00002149	21
238	Environmental	Aquatic	Marine	Cold seeps	Sediment	marine cold seep biome	cold seep	marine sediment	ENVO_01000127	ENVO_01000263	ENVO_03000033	21
239	Environmental	Terrestrial	Soil	Loam	Forest soil	coniferous forest biome	land	spruce forest soil	ENVO_01000196	ENVO_01001785	ENVO_00005784	21
240	Environmental	Terrestrial	Soil	Loam	Unclassified	terrestrial biome	land	soil	ENVO_00000446	ENVO_01001785	ENVO_00001998	21
241	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	organic feature	forest soil	ENVO_01000174	ENVO_01000159	ENVO_00002261	21
242	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	organic feature	heat stressed soil	ENVO_01000174	ENVO_01000159	ENVO_00005781	21
243	Environmental	Terrestrial	Soil	Unclassified	Tropical rainforest	forest biome	tropical forest	forest soil	ENVO_01000174	ENVO_01001803	ENVO_00002261	21
244	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	hill	soil	ENVO_00000446	ENVO_00000083	ENVO_00001998	21
245	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	university campus	soil	ENVO_00000446	ENVO_00000467	ENVO_00001998	21
246	Environmental	Aquatic	Marine	Hydrothermal vents	Black smokers	marine black smoker biome	black smoker	sea water	ENVO_01000051	ENVO_00000218	ENVO_00002149	20
247	Environmental	Aquatic	Marine	Neritic zone	Unclassified	marine biome	marine neritic zone	sea water	ENVO_00000447	ENVO_00000206	ENVO_00002149	20
248	Environmental	Aquatic	Marine	Oceanic	Sediment	marine biome	sea grass bed	marine sediment	ENVO_00000447	ENVO_01000059	ENVO_03000033	20
249	Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	marine water body	piece of plastic	ENVO_00000447	ENVO_00001999	ENVO_01000776	20
250	Environmental	Aquatic	Marine	Sediment	Unclassified	marine biome	bay	sediment	ENVO_00000447	ENVO_00000032	ENVO_00002007	20
251	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	bay	sea water	ENVO_00000447	ENVO_00000032	ENVO_00002149	20
252	Environmental	Aquatic	Marine	Wetlands	Sediment	aquatic biome	canal	sediment	ENVO_00002030	ENVO_00000014	ENVO_00002007	20
253	Environmental	Aquatic	Thermal springs	Warm (34-42C)	Neutral	aquatic biome	hot spring		ENVO_00002030	ENVO_00000051		20
254	Environmental	Terrestrial	Soil	Unclassified	Unclassified	aquatic biome	river	soil	ENVO_00002030	ENVO_00000022	ENVO_00001998	20
255	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	farm	bulk soil	ENVO_00000446	ENVO_00000078	ENVO_00005802	20
256	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	farm	farm soil	ENVO_00000446	ENVO_00000078	ENVO_00005749	20
257	Environmental	Aquatic	Aquaculture	Unclassified	Unclassified	aquatic biome			ENVO_00002030			19
258	Environmental	Aquatic	Aquaculture	Unclassified	Unclassified	aquatic biome	aquarium		ENVO_00002030	ENVO_00002196		19
259	Environmental	Aquatic	Marine	Intertidal zone	Estuary	marine biome	estuary	estuarine water	ENVO_00000447	ENVO_00000045	ENVO_01000301	19
260	Environmental	Aquatic	Marine	Unclassified	Unclassified	polar biome	polar	lake water	ENVO_01000339	ENVO_01000238	ENVO_04000007	19
261	Environmental	Aquatic	Sediment	Unclassified	Unclassified	estuarine biome	estuary	sediment	ENVO_01000020	ENVO_00000045	ENVO_00002007	19
262	Environmental	Aquatic	Thermal springs	Sediment	Unclassified	aquatic biome	hot spring	sediment	ENVO_00002030	ENVO_00000051	ENVO_00002007	19
263	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	cropland biome	farm	farm soil	ENVO_01000245	ENVO_00000078	ENVO_00005749	19
264	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	freshwater algal bloom	planktonic material	ENVO_01000252	ENVO_2000005	ENVO_01000063	18
265	Environmental	Aquatic	Marine	Coastal	Sediment	marine benthic biome	coastal water body	marine sediment	ENVO_01000024	ENVO_02000049	ENVO_03000033	18
266	Environmental	Aquatic	Marine	Inlet	Unclassified							18
267	Environmental	Aquatic	Marine	Neritic zone	Sediment	marine biome	marine neritic zone	marine sediment	ENVO_00000447	ENVO_00000206	ENVO_03000033	18
268	Environmental	Aquatic	Marine	Oceanic	Unclassified	ocean biome	marine water body	sea water	ENVO_01000048	ENVO_00001999	ENVO_00002149	18
269	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	marine water body	manufactured product	ENVO_00000447	ENVO_00001999	ENVO_00003074	18
270	Environmental	Aquatic	Non-marine Saline and Alkaline	Salt crystallizer ponds	Microbial mats	aquatic biome	saline evaporation pond	saline water	ENVO_00002030	ENVO_00000055	ENVO_00002010	18
271	Environmental	Terrestrial	Soil	Loam	Forest soil	forest biome	soil surface layer	forest soil	ENVO_01000174	ENVO_04000010	ENVO_00002261	18
272	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	rhizosphere	soil	ENVO_01000174	ENVO_00005801	ENVO_00001998	18
273	Environmental	Terrestrial	Soil	Unclassified	Unclassified	anthropogenic terrestrial biome	anthropogenic environment	soil	ENVO_01000219	ENVO_01000313	ENVO_00001998	18
274	Environmental	Aquatic	Freshwater	Groundwater	Contaminated	freshwater biome	anthropogenic contamination feature	contaminated water	ENVO_00000873	ENVO_00002204	ENVO_00002186	17
275	Environmental	Aquatic	Marine	Oceanic	Photic zone	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	17
276	Environmental	Terrestrial	Oil reservoir	Unclassified	Unclassified	terrestrial biome	oil reservoir	sand	ENVO_00000446	ENVO_00002185	ENVO_01000017	17
277	Environmental	Terrestrial	Soil	Loam	Grasslands	grassland biome	land	grassland soil	ENVO_01000177	ENVO_01001785	ENVO_00005750	17
278	Environmental	Terrestrial	Soil	Unclassified	Agricultural	terrestrial biome	farm	greenhouse soil	ENVO_00000446	ENVO_00000078	ENVO_00005780	17
279	Environmental	Terrestrial	Soil	Unclassified	Unclassified	forest biome	polar	forest soil	ENVO_01000174	ENVO_01000238	ENVO_00002261	17
280	Environmental	Aquatic	Freshwater	Pond	Unclassified	freshwater biome		planktonic material	ENVO_00000873		ENVO_01000063	16
281	Environmental	Aquatic	Freshwater	River	Sediment	freshwater river biome	estuary	sediment	ENVO_01000253	ENVO_00000045	ENVO_00002007	16
282	Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	area of sea ice	brine	ENVO_00000447	ENVO_01001520	ENVO_00003044	16
283	Environmental	Aquatic	Marine	Intertidal zone	Coral reef	marine coral reef biome	coral reef	biofilm	ENVO_01000049	ENVO_00000150	ENVO_00002034	16
284	Environmental	Aquatic	Marine	Ocean trench	Unclassified	marine biome	ocean trench	sea water	ENVO_00000447	ENVO_00000275	ENVO_00002149	16
285	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Sediment	aquatic biome	pond	sediment	ENVO_00002030	ENVO_00000033	ENVO_00002007	16
286	Environmental	Terrestrial	Soil	Unclassified	Agricultural	terrestrial biome	vineyard	soil	ENVO_00000446	ENVO_00000116	ENVO_00001998	16
287	Environmental	Terrestrial	Soil	Unclassified	Unclassified	grassland biome	land	grassland soil	ENVO_01000177	ENVO_01001785	ENVO_00005750	16
288	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	active permafrost layer	soil	ENVO_00000446	ENVO_04000009	ENVO_00001998	16
289	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	dairy	soil	ENVO_00000446	ENVO_00003862	ENVO_00001998	16
290	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	feedlot	soil	ENVO_00000446	ENVO_01000627	ENVO_00001998	16
291	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	land	sediment	ENVO_00000446	ENVO_01001785	ENVO_00002007	16
292	Environmental	Aquatic	Freshwater	Lake	Sediment	freshwater lake biome	eutrophic lake	lake sediment	ENVO_01000252	ENVO_01000548	ENVO_00000546	15
293	Environmental	Aquatic	Freshwater	Lentic	Sediment	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	15
294	Environmental	Aquatic	Freshwater	River	Microbial mats	freshwater river biome	river	microbial mat	ENVO_01000253	ENVO_00000022	ENVO_01000008	15
295	Environmental	Aquatic	Marine	Coastal	Unclassified	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	15
296	Environmental	Aquatic	Marine	Gulf	Unclassified	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	15
297	Environmental	Terrestrial	Deep subsurface	Fracking water	Unclassified	terrestrial biome	planetary subsurface zone	fracking liquid	ENVO_00000446	ENVO_01000941	ENVO_01001869	15
298	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	terrestrial biome	planetary subsurface zone	sediment	ENVO_00000446	ENVO_01000941	ENVO_00002007	15
299	Environmental	Terrestrial	Soil	Loam	Contaminated	terrestrial biome	bioreactor	contaminated soil	ENVO_00000446	ENVO_00002123	ENVO_00002116	15
300	Environmental	Terrestrial	Soil	Unclassified	Desert	terrestrial biome	plateau	soil	ENVO_00000446	ENVO_00000182	ENVO_00001998	15
301	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	tropical forest	forest soil	ENVO_01000174	ENVO_01001803	ENVO_00002261	15
302	Environmental	Terrestrial	Soil	Unclassified	Unclassified	alpine tundra biome	alpine	alpine soil	ENVO_01001505	ENVO_01000340	ENVO_00005741	15
303	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	prairie	soil	ENVO_00000446	ENVO_00000260	ENVO_00001998	15
304	Environmental	Aquatic	Freshwater	Groundwater	Mine drainage	aquatic biome	acid mine drainage	acidic water	ENVO_00002030	ENVO_00001997	ENVO_01000358	14
305	Environmental	Aquatic	Freshwater	Lake	Microbial mats	freshwater lake biome	freshwater lake	microbial mat	ENVO_01000252	ENVO_00000021	ENVO_01000008	14
306	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	freshwater algal bloom	lake water	ENVO_01000252	ENVO_2000005	ENVO_04000007	14
307	Environmental	Aquatic	Freshwater	Lotic	Unclassified	freshwater biome	stream	microbial mat	ENVO_00000873	ENVO_00000023	ENVO_01000008	14
308	Environmental	Aquatic	Marine	Deep subsurface	Deep subsurface	marine biome	oceanic subsurface zone	sea water	ENVO_00000447	ENVO_01001045	ENVO_00002149	14
309	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Microbial mats	aquatic biome	hypersaline lake	microbial mat	ENVO_00002030	ENVO_01001020	ENVO_01000008	14
310	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	aquatic biome	hot spring	microbial mat	ENVO_00002030	ENVO_00000051	ENVO_01000008	14
311	Environmental	Aquatic	Thermal springs	Unclassified	Unclassified	aquatic biome	hot spring	microbial mat	ENVO_00002030	ENVO_00000051	ENVO_01000008	14
312	Environmental	Aquatic	Unclassified	Unclassified	Unclassified	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	14
313	Environmental	Terrestrial	Soil	Loam	Agricultural soil	terrestrial biome	agricultural field	agricultural soil	ENVO_00000446	ENVO_00000114	ENVO_00002259	14
314	Environmental	Terrestrial	Soil	Loam	Grasslands	terrestrial biome	prairie	soil	ENVO_00000446	ENVO_00000260	ENVO_00001998	14
315	Environmental	Terrestrial	Soil	Unclassified	Permafrost	polar biome	peatland	peat soil	ENVO_01000339	ENVO_00000044	ENVO_00005774	14
316	Environmental	Terrestrial	Soil	Wetlands	Permafrost	terrestrial biome	wetland area	leachate	ENVO_00000446	ENVO_00000043	ENVO_00002141	14
317	Environmental	Aquatic	Freshwater	Lotic	Unclassified	marine biome	plume front	planktonic material	ENVO_00000447	ENVO_01000085	ENVO_01000063	13
318	Environmental	Aquatic	Freshwater	Unclassified	Unclassified	freshwater biome		fresh water	ENVO_00000873		ENVO_00002011	13
319	Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	coastal water body	sea water	ENVO_00000447	ENVO_02000049	ENVO_00002149	13
320	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Sediment	aquatic biome	hypersaline lake	lake sediment	ENVO_00002030	ENVO_01001020	ENVO_00000546	13
321	Environmental	Aquatic	Non-marine Saline and Alkaline	Salt crystallizer ponds	Microbial mats	aquatic biome	saline evaporation pond	microbial mat	ENVO_00002030	ENVO_00000055	ENVO_01000008	13
322	Environmental	Terrestrial	Plant litter	Unclassified	Unclassified	terrestrial biome	litter layer	plant litter	ENVO_00000446	ENVO_01000338	ENVO_01000628	13
323	Environmental	Terrestrial	Soil	Unclassified	Desert	desert biome	endolithic environment	biofilm	ENVO_01000179	ENVO_01000303	ENVO_00002034	13
324	Environmental	Terrestrial	Soil	Unclassified	Permafrost	terrestrial biome	solid layer	permafrost	ENVO_00000446	ENVO_01001275	ENVO_00000134	13
325	Environmental	Aquatic	Aquaculture	Unclassified	Unclassified	freshwater biome	fish farm	fresh water	ENVO_00000873	ENVO_00000294	ENVO_00002011	12
326	Environmental	Aquatic	Freshwater	Desert springs	Benthic	aquatic biome	hot spring		ENVO_00002030	ENVO_00000051		12
327	Environmental	Aquatic	Freshwater	Ice	Cryoconite	aquatic biome	glacial feature	cryoconite deposit	ENVO_00002030	ENVO_00000131	ENVO_03000038	12
328	Environmental	Aquatic	Freshwater	Lake	Microbial mats	freshwater lake biome	oligotrophic lake	microbial mat	ENVO_01000252	ENVO_01000774	ENVO_01000008	12
329	Environmental	Aquatic	Freshwater	Sinkhole	Unclassified	freshwater lake biome	sinkhole	fresh water	ENVO_01000252	ENVO_00000195	ENVO_00002011	12
330	Environmental	Aquatic	Freshwater	Unclassified	Unclassified	freshwater biome	bayou	fresh water	ENVO_00000873	ENVO_00000234	ENVO_00002011	12
331	Environmental	Aquatic	Freshwater	Unclassified	Unclassified	urban biome	watershed	contaminated water	ENVO_01000249	ENVO_00000292	ENVO_00002186	12
332	Environmental	Aquatic	Freshwater	Unclassified	Unclassified	urban biome	watershed	fresh water	ENVO_01000249	ENVO_00000292	ENVO_00002011	12
333	Environmental	Aquatic	Freshwater	Wetlands	Bog	aquatic biome	wetland area	forest soil	ENVO_00002030	ENVO_00000043	ENVO_00002261	12
334	Environmental	Aquatic	Freshwater	Wetlands	Unclassified	aquatic biome	wetland area	sediment	ENVO_00002030	ENVO_00000043	ENVO_00002007	12
335	Environmental	Aquatic	Marine	Coastal	Brine	marine biome	coastal water body	brine	ENVO_00000447	ENVO_02000049	ENVO_00003044	12
336	Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	bay	sea water	ENVO_00000447	ENVO_00000032	ENVO_00002149	12
337	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	marine hydrothermal vent biome	marine hydrothermal vent	rock	ENVO_01000030	ENVO_01000122	ENVO_00001995	12
338	Environmental	Aquatic	Marine	Intertidal zone	Estuary	estuarine biome	estuary	sea water	ENVO_01000020	ENVO_00000045	ENVO_00002149	12
339	Environmental	Aquatic	Marine	Oceanic	Abyssal plane	oceanic abyssopelagic zone biome	abyssal plain	sea water	ENVO_01000038	ENVO_00000244	ENVO_00002149	12
340	Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	marine water body	sea ice	ENVO_00000447	ENVO_00001999	ENVO_00002200	12
341	Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	ocean strait	surface water	ENVO_00000447	ENVO_01000651	ENVO_00002042	12
342	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	marine cold-water sphere	sea water	ENVO_00000447	ENVO_01000108	ENVO_00002149	12
343	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	marine water body	particulate matter in a hydrosphere	ENVO_00000447	ENVO_00001999	ENVO_01001651	12
344	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine cold seep biome	mesocosm	sediment	ENVO_01000127	ENVO_01000620	ENVO_00002007	12
345	Environmental	Aquatic	Marine	Volcanic	Unclassified	marine biome	fumarole	sediment	ENVO_00000447	ENVO_00000216	ENVO_00002007	12
346	Environmental	Aquatic	Sediment	Unclassified	Unclassified	aquatic biome	watershed	sediment	ENVO_00002030	ENVO_00000292	ENVO_00002007	12
347	Environmental	Aquatic	Sediment	Unclassified	Unclassified	marine benthic biome	marine benthic feature	marine sediment	ENVO_01000024	ENVO_01000105	ENVO_03000033	12
348	Environmental	Aquatic	Unclassified	Unclassified	Unclassified	aquatic biome	bayou	fresh water	ENVO_00002030	ENVO_00000234	ENVO_00002011	12
349	Environmental	Terrestrial	Soil	Clay	Unclassified	terrestrial biome	research facility	clay	ENVO_00000446	ENVO_00000469	ENVO_00002982	12
350	Environmental	Terrestrial	Soil	Sand	Desert	desert biome	carcass	soil	ENVO_01000179	ENVO_00002033	ENVO_00001998	12
351	Environmental	Terrestrial	Soil	Unclassified	Boreal forest	forest biome	soil surface layer	forest soil	ENVO_01000174	ENVO_04000010	ENVO_00002261	12
352	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	forest floor	wood	ENVO_01000174	ENVO_01001582	ENVO_00002040	12
353	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	fungi-associated environment	forest soil	ENVO_01000174	ENVO_01001041	ENVO_00002261	12
354	Environmental	Terrestrial	Soil	Unclassified	Unclassified	mangrove biome	intertidal zone	sediment	ENVO_01000181	ENVO_00000316	ENVO_00002007	12
355	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	coal mine	surface soil	ENVO_00000446	ENVO_00002169	ENVO_02000059	12
356	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	peatland	peat soil	ENVO_00000446	ENVO_00000044	ENVO_00005774	12
357	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	river bank	bulk soil	ENVO_00000446	ENVO_00000143	ENVO_00005802	12
358	Environmental	Aquatic	Freshwater	Groundwater	Unclassified	aquatic biome	borehole	groundwater	ENVO_00002030	ENVO_00002226	ENVO_01001004	11
359	Environmental	Aquatic	Freshwater	Lake	Sediment	freshwater lake biome	anoxic lake	lake sediment	ENVO_01000252	ENVO_01001072	ENVO_00000546	11
360	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	freshwater lake	manufactured product	ENVO_01000252	ENVO_00000021	ENVO_00003074	11
361	Environmental	Aquatic	Freshwater	Pond	Sediment	freshwater biome	pond	microbial mat	ENVO_00000873	ENVO_00000033	ENVO_01000008	11
362	Environmental	Aquatic	Marine	Coastal	Sediment	marine biome	burrow	marine sediment	ENVO_00000447	ENVO_01000429	ENVO_03000033	11
363	Environmental	Aquatic	Marine	Deep subsurface	Rock	marine biome	oceanic subsurface zone	rock	ENVO_00000447	ENVO_01001045	ENVO_00001995	11
