	ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	ENV_BROAD_SCALE_LABEL	ENV_LOCAL_SCALE_LABEL	ENV_MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT
45	Environmental	Aquatic	Freshwater	Wetlands	Soil	estuarine biome	wetland area	soil	ENVO_01000020	ENVO_00000043	ENVO_00001998	112
46	Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	oceanic gyre	sea water	ENVO_00000447	ENVO_01000074	ENVO_00002149	111
47	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Unclassified	aquatic biome	hot spring		ENVO_00002030	ENVO_00000051		111
48	Environmental	Terrestrial	Soil	Fossil	Unclassified	terrestrial biome	archeological site	fossil	ENVO_00000446	ENVO_00000564	ENVO_00002164	111
49	Environmental	Aquatic	Marine	Hypoxic zone	Unclassified	marine biome	marine oxygen minimum zone	sea water	ENVO_00000447	ENVO_01000065	ENVO_00002149	110
50	Environmental	Aquatic	Freshwater	River	Unclassified							109
51	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	temperate coniferous forest biome	soil surface layer	forest soil	ENVO_01000211	ENVO_04000010	ENVO_00002261	109
52	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	plateau	soil	ENVO_00000446	ENVO_00000182	ENVO_00001998	109
53	Environmental	Aquatic	Freshwater	Pond	Sediment	freshwater biome	pond		ENVO_00000873	ENVO_00000033		108
54	Environmental	Aquatic	Freshwater	River	Unclassified	freshwater river biome			ENVO_01000253			108
55	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	tropical	forest soil	ENVO_01000174	ENVO_01000204	ENVO_00002261	105
56	Environmental	Terrestrial	Soil	Loam	Forest soil	forest biome	land	forest soil	ENVO_01000174	ENVO_01001785	ENVO_00002261	103
57	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	solid layer	forest soil	ENVO_01000174	ENVO_01001275	ENVO_00002261	102
58	Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	marine water body	surface water	ENVO_00000447	ENVO_00001999	ENVO_00002042	99
59	Environmental	Terrestrial	Geologic	Sediment	Unclassified	terrestrial biome	archeological site	sediment	ENVO_00000446	ENVO_00000564	ENVO_00002007	99
60	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	soil surface layer	forest soil	ENVO_01000174	ENVO_04000010	ENVO_00002261	98
61	Environmental	Aquatic	Marine	Intertidal zone	Estuary	estuarine biome	estuary		ENVO_01000020	ENVO_00000045		94
62	Environmental	Terrestrial	Soil	Loam	Forest soil	forest biome	tropical forest	forest soil	ENVO_01000174	ENVO_01001803	ENVO_00002261	94
63	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	watershed	soil	ENVO_00000446	ENVO_00000292	ENVO_00001998	93
64	Environmental	Aquatic	Marine	Seaweed	Unclassified	marine biome	marine water body	organism	ENVO_00000447	ENVO_00001999	OBI_0100026	90
65	Environmental	Aquatic	Thermal springs	Unclassified	Unclassified	aquatic biome	hot spring		ENVO_00002030	ENVO_00000051		90
66	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified	aquatic biome	saline lake	lake water	ENVO_00002030	ENVO_00000019	ENVO_04000007	89
67	Environmental	Aquatic	Marine	Hydrothermal vents	Unclassified	marine hydrothermal vent biome	marine hydrothermal vent	hydrothermal fluid	ENVO_01000030	ENVO_01000122	ENVO_01000134	88
